 "subject" , "predicate" , "object" ,
 "b0" , "http://xmlns.com/foaf/0.1/givenName" , "Mariya Nazarivna Yaremchuk" ,
 "b0" , "http://xmlns.com/foaf/0.1/givenName" , "María" ,
 "b0" , "http://dbpedia.org/ontology/birthDate" , "1993-03-02" ,
 "b0" , "http://xmlns.com/foaf/0.1/homepage" , "http://mariyayaremchuk.com/" ,
 "b0" , "http://dbpedia.org/ontology/occupation" , "http://dbpedia.org/resource/Singer" ,
 "b0" , "http://dbpedia.org/ontology/genre" , "http://dbpedia.org/page/Pop_music" ,
 "b0" , "http://dbpedia.org/ontology/birthPlace" , "http://dbpedia.org/resource/Chernivtsi" ,
 "b0" , "http://dbpedia.org/ontology/birthPlace" , "http://dbpedia.org/resource/Ukraine" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/CausalAgent100007347" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/WikicatUkrainianSingers" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "https://www.w3.org/2002/07/owl#Thing" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Person100007846" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Singer110599806" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.wikidata.org/entity/Q24229398" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Organism100004475" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://xmlns.com/foaf/0.1/Person" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Artist109812338" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Whole100003553" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/YagoLegalActor" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://schema.org/Person" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.wikidata.org/entity/Q5" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Entertainer109616922" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Musician110340312" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Object100002684" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Musician110339966" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "https://www.wikidata.org/wiki/Q483501" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/MusicalArtist" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Performer110415638" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Artist" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Agent" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.wikidata.org/entity/Q215627" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://schema.org/MusicGroup" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/WikicatLivingPeople" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/YagoLegalActorGeo" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/WikicatPeopleFromChernivtsi" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/ontology/Person" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/Creator109614315" ,
 "b0" , "http://www.w3.org/1999/02/22-rdf-syntax-ns#type" , "http://dbpedia.org/class/yago/LivingThing100004258" ,
 "b0" , "http://dbpedia.org/ontology/background" , "solo_singer" ,
 "b0" , "http://xmlns.com/foaf/0.1/gender" , "female" ,
 "b0" , "http://dbpedia.org/property/nativeName" , Марія Назарівна Яремчук ,
 "b0" , "http://dbpedia.org/ontology/wikiPageID" , "41049551" ,
 "b0" , "http://dbpedia.org/ontology/alias" , "Maria Yaremchuk" ,
 "b0" , "http://dbpedia.org/ontology/wikiPageRevisionID" , "743897381" ,
 "b0" , "http://purl.org/dc/terms/description" , "Ukrainian pop singer who represented Ukraine in Eurovision 2014 " ,
